FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,FLIGHT_STATUS,YEAR,MONTH,year,month,DEP_TIME_MINUTES,WHEELS_OFF_MINUTES,ARR_TIME_MINUTES,WHEELS_ON_MINUTES,WHEELS_OFF_elapse,WHEELS_ON_elapse,Year,Quarter,Month,DayofMonth
2019-07-24,Envoy Air,Envoy Air: MQ,MQ,20398,3810,ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX",16:50:00,16:47:00,-3.0,9.0,16:56:00,17:22:00,8.0,1744,17:30:00,-14.0,0.0,0.0,54.0,43.0,26.0,89.0,0,2019,7,2019,7,1007,1016,1050,1042,9,8,2019,3,7,24
2019-09-16,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,458,CMH,"Columbus, OH",ATL,"Atlanta, GA",06:20:00,06:18:00,-2.0,12.0,06:30:00,07:38:00,10.0,755,07:48:00,-7.0,0.0,0.0,95.0,90.0,68.0,447.0,0,2019,9,2019,9,378,390,468,458,12,10,2019,3,9,16
2022-06-24,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1896,MCO,"Orlando, FL",CLT,"Charlotte, NC",06:16:00,08:41:00,145.0,49.0,09:30:00,10:46:00,6.0,759,10:52:00,173.0,0.0,0.0,103.0,131.0,76.0,468.0,1,2022,6,2022,6,521,570,652,646,49,6,2022,2,6,24
2020-05-17,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1839,DCA,"Washington, DC",DFW,"Dallas/Fort Worth, TX",07:00:00,06:52:00,-8.0,16.0,07:08:00,08:54:00,5.0,927,08:59:00,-28.0,0.0,0.0,207.0,187.0,166.0,1192.0,0,2020,5,2020,5,412,428,539,534,16,5,2020,2,5,17
2022-03-18,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,591,BIS,"Bismarck/Mandan, ND",DEN,"Denver, CO",14:59:00,14:58:00,-1.0,12.0,15:10:00,15:23:00,33.0,1551,15:56:00,5.0,0.0,0.0,112.0,118.0,73.0,516.0,0,2022,3,2022,3,898,910,956,923,12,33,2022,1,3,18
2022-07-28,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,1608,PVD,"Providence, RI",ATL,"Atlanta, GA",18:55:00,18:46:00,-9.0,63.0,19:49:00,21:55:00,6.0,2134,22:01:00,27.0,0.0,0.0,159.0,195.0,126.0,903.0,1,2022,7,2022,7,1126,1189,1321,1315,63,6,2022,3,7,28
2021-09-14,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5497,GSO,"Greensboro/High Point, NC",CLT,"Charlotte, NC",09:10:00,09:04:00,-6.0,19.0,09:23:00,09:46:00,16.0,1025,10:02:00,-23.0,0.0,0.0,75.0,58.0,23.0,83.0,0,2021,9,2021,9,544,563,602,586,19,16,2021,3,9,14
2023-05-02,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3660,ABE,"Allentown/Bethlehem/Easton, PA",ATL,"Atlanta, GA",06:00:00,05:55:00,-5.0,13.0,06:08:00,07:50:00,6.0,815,07:56:00,-19.0,0.0,0.0,135.0,121.0,102.0,692.0,0,2023,5,2023,5,355,368,476,470,13,6,2023,2,5,2
2022-12-12,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3449,STS,"Santa Rosa, CA",LAX,"Los Angeles, CA",11:10:00,11:09:00,-1.0,12.0,11:21:00,12:19:00,9.0,1248,12:28:00,-20.0,0.0,0.0,98.0,79.0,58.0,400.0,0,2022,12,2022,12,669,681,748,739,12,9,2022,4,12,12
2022-11-03,SkyWest Airlines Inc.,SkyWest Airlines Inc.: OO,OO,20304,3326,SLC,"Salt Lake City, UT",LAX,"Los Angeles, CA",08:25:00,10:51:00,146.0,9.0,11:00:00,11:29:00,18.0,932,11:47:00,135.0,0.0,0.0,127.0,116.0,89.0,590.0,1,2022,11,2022,11,651,660,707,689,9,18,2022,4,11,3
